,pub_title.x,n
706,Elektrotechnik Und Informationstechnik,1
707,Energy Research & Social Science,1
708,Engineering Construction and Architectural Management,1
709,"Engineering Management, IEEE Transactions on",1
710,Environment and Planning B: Urban Analytics and City Science,1
711,Environment and Urbanization Asia,1
712,Environmental Communication-a Journal of Nature and Culture,1
713,Environmental Modelling & Software,1
714,Environmental Research Letters,1
715,Environmental Science and Pollution Research,1
716,EPJ Data Science,1
717,Ethics and Information Technology,1
718,Ethnicity & Disease,1
719,Eurasian Business Review,1
720,Eurasian Geography and Economics,1
721,Eurasip Journal on Wireless Communications and Networking,1
722,Europe-Asia Studies,1
723,European Journal of Cultural Studies,1
724,European Journal of Development Research,1
725,European Journal of Risk Regulation,1
726,European Journal of Social Theory,1
727,European Journal of Social Work,1
728,European Law Journal,1
729,European Political Science,1
730,European Public Law,1
731,European Review,1
732,Evaluation,1
733,Evaluation and Program Planning,1
734,Extractive Industries and Society-an International Journal,1
735,"Facta Universitatis, Series: Electronics and Energetics",1
736,Financial Accountability & Management,1
737,Financial Accountability and Management,1
738,Financial and Credit Activity-Problems of Theory and Practice,1
739,foresight,1
740,Frontiers in Blockchain,1
741,Frontiers in Energy Research,1
742,Frontiers of Engineering Management,1
743,Fudan Journal of the Humanities and Social Sciences,1
744,Future of Food: Journal on Food Agriculture and Society,1
745,Galactica Media-Journal of Media Studies - Galaktika Media-Zhurnal Media Issledovanij,1
746,Geographical Review,1
747,Geoinformatica,1
748,GeoJournal,1
749,German Politics,1
750,Global Governance,1
751,Global Health Promotion,1
752,Global Knowledge Memory and Communication,1
753,Global Media and Communication,1
754,Globalizations,1
755,Government and Opposition,1
756,Hague Journal on the Rule of Law,1
757,Health Information & Libraries Journal,1
758,Health Information Management Journal,1
759,Health Physics,1
760,Health Policy and Planning,1
761,Health Security,1
762,Heliyon,1
763,"Hermès, La Revue",1
764,Historical Social Research (Historische Sozialforschung),1
765,Housing Policy Debate,1
766,Human Factors,1
767,Human Resources for Health,1
768,Human Vaccines & Immunotherapeutics,1
769,Hydrological Sciences Journal-Journal Des Sciences Hydrologiques,1
770,IEE Proceedings – Communications,1
771,IEEE-CAA Journal of Automatica Sinica,1
772,IEEE Communications Magazine,1
773,IEEE Consumer Electronics Magazine,1
774,IEEE Instrumentation & Measurement Magazine,1
775,Ieee Intelligent Transportation Systems Magazine,1
776,IEEE Intelligent Transportation Systems Magazine,1
777,Ieee Internet of Things Journal,1
778,Ieee Multimedia,1
779,Ieee Sensors Journal,1
780,IEEE Sensors Journal,1
781,Ieee Systems Journal,1
782,IEEE Transactions on Computers,1
783,Ieee Transactions on Emerging Topics in Computing,1
784,Ieee Transactions on Industrial Informatics,1
785,IEEE Transactions on Industrial Informatics,1
786,Ieee Transactions on Information Forensics and Security,1
787,IEEE Transactions on Knowledge & Data Engineering,1
788,IEEE Transactions on Network and Service Management,1
789,IEEE Transactions on Network Science and Engineering,1
790,IEEE Transactions on Power Systems,1
791,Ieee Transactions on Professional Communication,1
792,IEEE Transactions on Technology and Society,1
793,Ieice Transactions on Communications,1
794,IEICE Transactions on Information and Systems,1
795,IET Smart Cities,1
796,IET Software,1
797,IFLA Journal-International Federation of Library Associations,1
798,IIM Kozhikode Society & Management Review,1
799,Ijispm-International Journal of Information Systems and Project Management,1
800,Impact Assessment and Project Appraisal,1
801,Implementation Science,1
802,Independent Journal of Management & Production,1
803,India Quarterly,1
804,India Review,1
805,Indian Journal of Medical Research,1
806,Indonesian Journal of Electrical Engineering and Computer Science,1
807,Industrial Management + Data Systems,1
808,Informacijos Mokslai (Information Science),1
809,Informatica,1
810,Informatica Economica,1
811,Informatics,1
812,Information & Software Technology,1
813,Information and Learning Sciences,1
814,Information and Management,1
815,Information Fusion,1
816,Information Research,1
817,Information Technology & Libraries,1
818,Information Technology and Libraries,1
819,Information Technology and People,1
820,Information Technology and Tourism,1
821,Infosecurity Today,1
822,Innovation,1
823,Innovation-The European Journal of Social Science Research,1
824,Innovative Infrastructure Solutions,1
825,Intelligent Decision Technologies,1
826,Inter-Asia Cultural Studies,1
827,Interactions,1
828,Interactive Technology and Smart Education,1
829,International Arab Journal of Information Technology,1
830,International Business Review,1
831,International Data Privacy Law,1
832,International Food and Agribusiness Management Review,1
833,International Insolvency Review,1
834,International Journal for Equity in Health,1
835,International Journal for the Semiotics of Law-Revue Internationale De Semiotique Juridique,1
836,International Journal of Advanced and Applied Sciences,1
837,International Journal of Agricultural and Environmental Information Systems,1
838,International Journal of Applied Earth Observation and Geoinformation,1
839,International Journal of Applied Systemic Studies,1
840,International Journal of Approximate Reasoning,1
841,International Journal of Architectural Heritage,1
842,International Journal of Artificial Intelligence and Machine Learning (IJAIML),1
843,International Journal of Asia Pacific Studies,1
844,International Journal of Bank Marketing,1
845,International Journal of Big Data Management,1
846,International Journal of Bio-Inspired Computation,1
847,International Journal of Business and Society,1
848,International Journal of Business Performance Management,1
849,International Journal of Business Process Integration and Management,1
850,International Journal of Cases on Electronic Commerce,1
851,International Journal of Communication Systems,1
852,International Journal of Comparative and Applied Criminal Justice,1
853,International Journal of Computational Intelligence Systems,1
854,International Journal of Computer Science & Network Security,1
855,International Journal of Continuing Engineering Education and Life-Long Learning,1
856,International Journal of Critical Infrastructure Protection,1
857,International Journal of Critical Infrastructures,1
858,International Journal of Cyber Research and Education (IJCRE),1
859,International Journal of Data and Network Science,1
860,International Journal of Data Warehousing and Mining (IJDWM),1
861,International Journal of Decision Support System Technology,1
862,International Journal of Development Issues,1
863,International Journal of Digital Accounting Research,1
864,International Journal of Distributed Systems and Technologies,1
865,International Journal of Electronic Security and Digital Forensics,1
866,International Journal of Electronics,1
867,International Journal of Electronics and Telecommunications,1
868,International Journal of Emergency Services,1
869,International Journal of Emerging Markets,1
870,International Journal of Emerging Technologies in Learning,1
871,International Journal of Energy Research,1
872,International Journal of Engineering and Geosciences,1
873,International Journal of Engineering Business Management,1
874,International Journal of Enterprise Information Systems,1
875,International Journal of Epidemiology,1
876,International Journal of Future Generation Communication & Networking,1
877,International Journal of Future Generation Communication and Networking,1
878,International Journal of Fuzzy Systems,1
879,International Journal of Geomate,1
880,International Journal of Grid and Distributed Computing,1
881,International Journal of Health Care Quality Assurance,1
882,International Journal of Health Geographics,1
883,International Journal of Health Services,1
884,International Journal of Healthcare Technology & Management,1
885,International Journal of Human Computer Studies,1
886,International Journal of Hyperconnectivity and the Internet of Things (IJHIoT),1
887,International Journal of Indian Culture and Business Management,1
888,International Journal of Information and Learning Technology,1
889,International Journal of Information Quality,1
890,International Journal of Information Systems and Project Management,1
891,International Journal of Information Technology and Web Engineering,1
892,International Journal of Innovative Technologies in Economy,1
893,International Journal of Intelligent Computing and Cybernetics,1
894,International Journal of Interactive Multimedia and Artificial Intelligence,1
895,International Journal of Internet Technology and Secured Transactions,1
896,"International Journal of Internet, Broadcasting and Communication",1
897,International Journal of Knowledge and Learning,1
898,International Journal of Law and Information Technology,1
899,International Journal of Law in Context,1
900,International Journal of Legal Information,1
901,International Journal of Life Cycle Assessment,1
902,International Journal of Management,1
903,International Journal of Managing Public Sector Information and Communication Technologies,1
904,International Journal of Mental Health Systems,1
905,"International Journal of Metadata, Semantics and Ontologies",1
906,International Journal of Mobile Human Computer Interaction,1
907,International Journal of Modeling Simulation and Scientific Computing,1
908,International Journal of Multicultural and Multireligious Understanding,1
909,International Journal of Network Management,1
910,International Journal of Online Engineering,1
911,International Journal of Online Marketing,1
912,International Journal of Operations & Production Management,1
913,International Journal of Organizational Leadership,1
914,International Journal of Pervasive Computing and Communications,1
915,International Journal of Press/Politics,1
916,International Journal of Productivity and Performance Management,1
917,International Journal of Progressive Sciences and Technologies,1
918,International Journal of Public Law and Policy,1
919,International Journal of Public Opinion Research,1
920,International Journal of Public Policy,1
921,International Journal of Qualitative Research in Services,1
922,International Journal of Quality & Reliability Management,1
923,International Journal of Research in Business and Social Science,1
924,International Journal of Security and Its Applications,1
925,International Journal of Service Industry Management,1
926,International Journal of Services Technology and Management,1
927,International Journal of Smart Security Technologies (IJSST),1
928,International Journal of Social Economics,1
929,International Journal of Software Engineering and Knowledge Engineering,1
930,International Journal of Spatial Data Infrastructures Research,1
931,International Journal of Strategic Communication,1
932,International Journal of System Assurance Engineering and Management,1
933,International Journal of System Dynamics Applications,1
934,International Journal of Teaching and Case Studies,1
935,International Journal of Technology and Human Interaction (IJTHI),1
936,International Journal of Technology Enhanced Learning,1
937,International Journal of Technology Management,1
938,"International Journal of Technology, Policy and Management",1
939,International Journal of Tourism Cities,1
940,International Journal of Urban and Regional Research,1
941,International Journal of Urban Sciences,1
942,International Journal of Web Services Research (IJWSR),1
943,"International Journal on Advanced Science, Engineering, and Information Technology",1
944,International Migration Review,1
945,International Nursing Review,1
946,International Planning Studies,1
947,International Review,1
948,International Review of Law and Economics,1
949,International Review of Sociology,1
950,International Sociology,1
951,International Spectator,1
952,International Transaction Journal of Engineering Management & Applied Sciences & Technologies,1
953,"International Transaction Journal of Engineering, Management, & Applied Sciences & Technologies",1
954,Internet Policy Review,1
955,Internet Research: Electronic Networking Applications and Policy,1
956,Inzinerine Ekonomika-Engineering Economics,1
957,Irish Journal of Sociology,1
958,Island Studies Journal,1
959,Issues In Information Systems,1
960,It Professional,1
961,Italian Political Science Review-Rivista Italiana Di Scienza Politica,1
962,JCIC : Jurnal CIC Lembaga Riset dan Konsultan Sosial,1
963,Jcms-Journal of Common Market Studies,1
964,JeDEM-eJournal of eDemocracy and Open Government,1
965,Jmir Mental Health,1
966,Journal for Cultural Research,1
967,Journal of Accounting and Organizational Change,1
968,Journal of Accounting and Public Policy,1
969,Journal of Accounting Auditing and Business,1
970,Journal of Accounting in Emerging Economies,1
971,Journal of Advances in Management Research,1
972,Journal of Aging & Social Policy,1
973,Journal of Aging Studies,1
974,Journal of Agrarian Change,1
975,Journal of Applied Communication Research,1
976,Journal of Applied Economics,1
977,Journal of Applied Security Research,1
978,Journal of Archival Organization,1
979,Journal of Asian and African Studies,1
980,Journal of Asian Economics,1
981,Journal of Behavioral Public Administration,1
982,Journal of Big Data,1
983,Journal of Biomedical Informatics,1
984,Journal of British Cinema and Television,1
985,Journal of Business & Industrial Marketing,1
986,Journal of Chinese Political Science,1
987,Journal of Coastal Research,1
988,Journal of Communication Management,1
989,Journal of Competitiveness,1
990,Journal of Computational Methods in Sciences and Engineering,1
991,Journal of Computer Science,1
992,"Journal of Computer Science, Information Technology and Telecommunication Engineering",1
993,Journal of Conflict Resolution,1
994,Journal of Construction Engineering and Management,1
995,Journal of Contemporary African Studies,1
996,Journal of Contemporary Issues in Business and Government,1
997,Journal of Creative Communications,1
998,Journal of Cross-Cultural Gerontology,1
999,Journal of Data and Information Science,1
1000,Journal of Decision Systems,1
1001,Journal of Defense Modeling and Simulation-Applications Methodology Technology,1
1002,Journal of Developing Societies,1
1003,Journal of Development Policy and Practice,1
1004,Journal of Digital Information Management,1
1005,Journal of E-Goverment,1
1006,Journal of Eastern African Studies,1
1007,Journal of Economic and Administrative Sciences,1
1008,Journal of Economic Perspectives,1
1009,Journal of Economic Policy Reform,1
1010,Journal of Economic Studies,1
1011,Journal of Elections Public Opinion and Parties,1
1012,Journal of Engineering Design and Technology,1
1013,Journal of Entrepreneurship and Public Policy,1
1014,Journal of Entrepreneurship in Emerging Economies,1
1015,Journal of Environmental Economics and Management,1
1016,Journal of Environmental Management,1
1017,Journal of Environmental Policy & Planning,1
1018,Journal of European Public Policy,1
1019,Journal of Exclusion Studies,1
1020,Journal of Financial Regulation and Compliance,1
1021,Journal of Financial Reporting and Accounting,1
1022,Journal of Fish and Wildlife Management,1
1023,Journal of Gerontological Social Work,1
1024,Journal of Global Security Studies,1
1025,Journal of Government and Civil Society,1
1026,Journal of Grid Computing,1
1027,Journal of Hospital Librarianship,1
1028,Journal of Hospitality and Tourism Technology,1
1029,Journal of Industrial Engineering and Management,1
1030,Journal of Information and Telecommunication,1
1031,Journal of Information Science and Engineering,1
1032,Journal of Information Technology Cases and Applications,1
1033,Journal of Information Technology Management,1
1034,Journal of Information Technology Teaching Cases,1
1035,Journal of Informetrics,1
1036,Journal of Innovation Economics & Management,1
1037,Journal of Intelligent Information Systems,1
1038,Journal of Intelligent Systems,1
1039,Journal of International Economics,1
1040,Journal of Internet Commerce,1
1041,Journal of Interpersonal Violence,1
1042,Journal of Investing,1
1043,Journal of Knowledge Management,1
1044,Journal of Korea Trade,1
1045,Journal of Language and Politics,1
1046,Journal of Librarianship & Information Science,1
1047,Journal of Library Metadata,1
1048,Journal of Macroeconomics,1
1049,Journal of Management Analytics,1
1050,Journal of Management in Engineering,1
1051,Journal of Marine Science and Engineering,1
1052,Journal of Money Laundering Control,1
1053,Journal of Multi-Criteria Decision Analysis,1
1054,Journal of Nonprofit & Public Sector Marketing,1
1055,Journal of Official Statistics,1
1056,"Journal of Open Innovation: Technology, Market, and Complexity",1
1057,Journal of Operations Management,1
1058,Journal of Organizational and End User Computing (JOEUC),1
1059,Journal of Parallel and Distributed Computing,1
1060,Journal of Place Management and Development,1
1061,Journal of Political Marketing,1
1062,Journal of Politics,1
1063,Journal of Property Planning and Environmental Law,1
1064,Journal of Public Economics,1
1065,Journal of Public Policy & Marketing,1
1066,Journal of Public Relations Research,1
1067,Journal of Purchasing and Supply Management,1
1068,Journal of Rural Studies,1
1069,Journal of Social Work,1
1070,Journal of Southeast Asian Economies,1
1071,Journal of Spatial Science,1
1072,Journal of Statistics & Management Systems,1
1073,Journal of Systems and Information Technology,1
1074,Journal of the American Planning Association,1
1075,Journal of the American Water Resources Association,1
1076,Journal of the Australian Library & Information Association,1
1077,Journal of the Canadian Health Libraries Association (JCHLA),1
1078,Journal of the Chinese Institute of Engineers,1
1079,Journal of the Chinese Medical Association,1
1080,Journal of the Geographical Institute Jovan Cvijic Sasa,1
1081,Journal of the Operational Research Society,1
1082,Journal of Urban and Regional Analysis,1
1083,Journal of Urban Management,1
1084,Journal of Web Semantics,1
1085,Journalism,1
1086,Journalism & Mass Communication Quarterly,1
1087,Jurnal Administrasi Publik : Public Administration Journal,1
1088,Jurnal Komunikasi-Malaysian Journal of Communication,1
1089,Jurnal Studi Sosial dan Politik,1
1090,Knowledge and Information Systems,1
1091,Knowledge Organization,1
1092,Korea Observer,1
1093,Korean Journal of Physiology & Pharmacology,1
1094,Ksce Journal of Civil Engineering,1
1095,Ksii Transactions on Internet and Information Systems,1
1096,Lancet Digital Health,1
1097,Latin American Policy,1
1098,Law and Development Review,1
1099,Law Culture and the Humanities,1
1100,Learning Organization,1
1101,LEEE Transactions on Dependable and Secure Computing,1
1102,Legal Information Management,1
1103,Lexonomica,1
1104,Library & Information Science Research (07408188),1
1105,Library and Information Science Research,1
1106,Libri-International Journal of Libraries and Information Studies,1
1107,Libri - International Journal of Libraries & Information Services,1
1108,Libri: International Journal of Libraries & Information Services,1
1109,LibriLibri: International Journal of Libraries & Information Services,1
1110,Logic Journal of the Igpl,1
1111,Management Decision,1
1112,Managing Service Quality: An International Journal,1
1113,Marine Technology Society Journal,1
1114,Marketing and Management of Innovations,1
1115,Maternal and Child Health Journal,1
1116,Measuring Business Excellence,1
1117,Meditari Accountancy Research,1
1118,Mezinarodni Vztahy-Czech Journal of International Relations,1
1119,Microprocessors and Microsystems,1
1120,Middle East Journal of Culture and Communication,1
1121,Minerva,1
1122,Mis Quarterly Executive,1
1123,MIS Quarterly: Management Information Systems,1
1124,MJIR | Malaysian Journal of International Relations,1
1125,Mobilities,1
1126,Modern Law Review,1
1127,Montenegrin Journal of Economics,1
1128,Mousaion,1
1129,Multimedia Systems,1
1130,Natural Hazards Review,1
1131,Nature Communications,1
1132,Netnomics,1
1133,Network Security,1
1134,New Global Studies,1
1135,New Library World,1
1136,New Political Economy,1
1137,Nordicom Review,1
1138,Open Mathematics,1
1139,OPERA,1
1140,Organization Studies,1
1141,Oxford Journal of Legal Studies,1
1142,Pacific Asia Journal of the Association for Information Systems,1
1143,Pacific Focus,1
1144,Palgrave Communications,1
1145,Patient Education and Counseling,1
1146,Pattern Recognition,1
1147,Peer-to-Peer Networking and Applications,1
1148,PeerJ Computer Science,1
1149,Perspectivas em Ciência da Informação,1
1150,Perspectives on Public Management and Governance,1
1151,Pertanika Journal of Social Sciences and Humanities,1
1152,Pfg-Journal of Photogrammetry Remote Sensing and Geoinformation Science,1
1153,Philosophical Transactions of the Royal Society a-Mathematical Physical and Engineering Sciences,1
1154,Philosophy & Technology,1
1155,Planning Practice and Research,1
1156,Policing-an International Journal of Police Strategies & Management,1
1157,Politica Y Sociedad,1
1158,Political Behavior,1
1159,Political Behaviour,1
1160,Political Psychology,1
1161,Political Quarterly,1
1162,Political Science Research and Methods,1
1163,Political Studies,1
1164,Political Studies Review,1
1165,Politics and Governance,1
1166,Popular Communication,1
1167,Post-Soviet Affairs,1
1168,Postmodern Openings,1
1169,Prague Economic Papers,1
1170,Pravni Vjesnik,1
1171,"PREKOGRANIČNA JAVNA UPRAVA: PERSPEKTIVE UVOĐENJA ""BLOCKCHAIN"" NADLEŽNOSTI.",1
1172,"Preservation, Digital Technology & Culture",1
1173,Proceedings of the Association for Information Science and Technology,1
1174,Proceedings of the European Conference on Knowledge Management,1
1175,Proceedings of the Institution of Civil Engineers-Municipal Engineer,1
1176,Proceedings of the Institution of Civil Engineers-Transport,1
1177,Proceedings of the Royal Society a-Mathematical Physical and Engineering Sciences,1
1178,Production and Operations Management,1
1179,Production Planning & Control,1
1180,Profesional de la Información,1
1181,Profesional De La Información,1
1182,Professional Geographer,1
1183,Property Management,1
1184,PS: Political Science and Politics,1
1185,Psychological Services,1
1186,Pubic Performance & Management Review,1
1187,Public Administration & Development,1
1188,Public administration aspects,1
1189,Public Finance Quarterly-Hungary,1
1190,Public Integrity,1
1191,Public Personnel Management,1
1192,Public Services Quarterly,1
1193,Public Understanding of Science,1
1194,Public Works Management & Policy,1
1195,Punishment & Society-International Journal of Penology,1
1196,Quantum Information Processing,1
1197,Rae-Revista De Administracao De Empresas,1
1198,RAIRO - Theoretical Informatics and Applications,1
1199,Reference Librarian,1
1200,Rege-Revista De Gestao,1
1201,Regional Environmental Change,1
1202,Representation,1
1203,Requirements Engineering,1
1204,Research in Globalization,1
1205,Research in International Business and Finance,1
1206,Research in Learning Technology,1
1207,"Research Journal of Applied Sciences, Engineering and Technology",1
1208,Resources-Basel,1
1209,"Resources, Conservation and Recycling",1
1210,Review of Economic Perspectives,1
1211,"Revista Contabilidade, Gestão e Governança",1
1212,Revista de Gestão e Secretariado,1
1213,Revista De Gestao E Secretariado,1
1214,Revista Ibero-Americana De Ciencia Da Informacao,1
1215,Revista Internacional De Sociologia,1
1216,Revista Tecnologia E Sociedade,1
1217,Risk Hazards & Crisis in Public Policy,1
1218,Risk Management-Journal of Risk Crisis and Disaster,1
1219,Romanian Journal of Information Technology and Automatic Control-Revista Romana De Informatica Si Automatica,1
1220,Rossiiskii Zhurnal Menedzhmenta-Russian Management Journal,1
1221,Round Table,1
1222,"RSF Conference Series: Business, Management and Social Sciences",1
1223,Sa Journal of Human Resource Management,1
1224,Sadhana-Academy Proceedings in Engineering Sciences,1
1225,Scalable Computing-Practice and Experience,1
1226,Scandinavian Political Studies,1
1227,Science of Computer Programming,1
1228,Science Technology & Human Values,1
1229,Scientific World Journal,1
1230,Security and Communication Networks,1
1231,Security Dialogue,1
1232,Serials Review,1
1233,Simulation & Gaming,1
1234,Small Business Economics,1
1235,Smart and Sustainable Built Environment,1
1236,Social Networks,1
1237,Social Science Information Sur Les Sciences Sociales,1
1238,Social Science Journal,1
1239,Social Sciences,1
1240,Social Studies of Science,1
1241,Society & Natural Resources,1
1242,Sociologia Nauki I Tehnologij-Sociology of Science & Technology,1
1243,Sociologia Y Tecnociencia,1
1244,Sociological Research,1
1245,Soft Computing,1
1246,Software and Systems Modeling,1
1247,South African Journal of International Affairs-Sajia,1
1248,South African Journal of Libraries & Information Science,1
1249,South African Journal of Libraries and Information Science,1
1250,Space and Culture,1
1251,Space Policy,1
1252,SpringerPlus,1
1253,State and Local Government Review,1
1254,Strategic Change,1
1255,Strategic Change-Briefings in Entrepreneurial Finance,1
1256,Strategic Outsourcing,1
1257,Structure and Infrastructure Engineering,1
1258,Sudosteuropa,1
1259,Supply Chain Management-an International Journal,1
1260,Survey Review,1
1261,Sustainability Science,1
1262,Sustainable Development,1
1263,Sustainable Energy Grids & Networks,1
1264,Sustainable Energy Technologies and Assessments,1
1265,Symmetry-Basel,1
1266,Systemic Practice & Action Research,1
1267,Systems,1
1268,Td-the Journal for Transdisciplinary Research in Southern Africa,1
1269,TD: The Journal for Transdisciplinary Research in Southern Africa,1
1270,Teaching Public Administration,1
1271,Technological and Economic Development of Economy,1
1272,Technovation,1
1273,Techtrends,1
1274,Tehnički vjesnik - Technical Gazette,1
1275,Tehnicki Vjesnik-Technical Gazette,1
1276,Telecommunication Computing Electronics and Control (℡KOMNIKA),1
1277,Telecommunication Computing Electronics and Control (TELKOMNIKA),1
1278,Telemedicine and E-Health,1
1279,TEM Journal - Technology Education Management Informatics,1
1280,Tema-Journal of Land Use Mobility and Environment,1
1281,Territory Politics Governance,1
1282,The Bottom Line: Managing Library Finances,1
1283,The Canadian Geographer,1
1284,The EDI Law Review,1
1285,The Electronic Journal of Information Systems in Developing Countries,1
1286,The European Journal of Development Research,1
1287,"The International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",1
1288,The International Information & Library Review,1
1289,The Journal for Transdisciplinary Research in Southern Africa,1
1290,The Journal of Comparative Asian Development,1
1291,The Journal of Strategic Information Systems,1
1292,The Lancet,1
1293,The Political Quarterly,1
1294,The University of New South Wales Law Journal,1
1295,Theory and Society,1
1296,Thesis Eleven,1
1297,Third World Quarterly,1
1298,Tourism Review,1
1299,Transactions in Gis,1
1300,Transactions on Emerging Telecommunications Technologies,1
1301,Transport Policy,1
1302,Transport Reviews,1
1303,Transportation in Developing Economies,1
1304,Transportation Journal,1
1305,Transportation Planning and Technology,1
1306,Transportation Research Part F-Traffic Psychology and Behaviour,1
1307,Turkish Studies,1
1308,Ukrainian Journal of Ecology,1
1309,UNIO EU Law Journal,1
1310,Urban Affairs Review,1
1311,Urban Research & Practice,1
1312,Utilities Policy,1
1313,Utrecht Law Review,1
1314,Vaccine,1
1315,Verwaltung und Management,1
1316,Vestnik Mezhdunarodnykh Organizatsii-International Organisations Research Journal,1
1317,Vestnik Permskogo Universiteta-Juridicheskie Nauki,1
1318,Vine Journal of Information and Knowledge Management Systems,1
1319,VINE Journal of Information and Knowledge Management Systems,1
1320,Voprosy Gosudarstvennogo I Munitsipalnogo Upravleniya-Public Administration Issues,1
1321,Water and Environment Journal,1
1322,Westminster Papers in Communication & Culture,1
1323,Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery,1
1324,Wireless Communications and Mobile Computing,1
1325,Wireless Networks,1
1326,WIREs: Data Mining & Knowledge Discovery,1
1327,World Bank Economic Review,1
1328,World Bank Research Observer,1
1329,World Economy and International Relations,1
1330,World Journal of Science Technology and Sustainable Development,1
1331,World Journal of Surgery,1
1332,World Patent Information,1
1333,World Trade Review,1
